fold,accuracy,precision,recall,f1
1,0.7354056103108415,0.7728803594414485,0.7354056103108415,0.748172235320794
2,0.7693474962063733,0.8054615969338007,0.7693474962063733,0.7806568171595777
3,0.7367223065250379,0.7824632698807032,0.7367223065250379,0.7510204260525261
4,0.7314112291350531,0.7717025992398556,0.7314112291350531,0.7449357240473969
5,0.7359635811836115,0.7836975997330875,0.7359635811836115,0.7506821232636862
6,0.7564491654021245,0.7946124473157045,0.7564491654021245,0.7686484270126489
7,0.7473444613050075,0.7854707435885431,0.7473444613050075,0.7598646675752104
8,0.7526555386949925,0.7928101795463868,0.7526555386949925,0.7653679037177357
9,0.7344461305007587,0.773142800095632,0.7344461305007587,0.7475338041881694
10,0.7397572078907435,0.7811870454188686,0.7397572078907435,0.7531991189826586
