run,category,scenario,stage,variant,rows,time_sec
1,inference,inference_without_smote,input_preparation,without_smote,14926,0.0008097
2,inference,inference_without_smote,input_preparation,without_smote,14926,0.000451
3,inference,inference_without_smote,input_preparation,without_smote,14926,0.0003245
4,inference,inference_without_smote,input_preparation,without_smote,14926,0.0004263
5,inference,inference_without_smote,input_preparation,without_smote,14926,0.0003538
1,inference,inference_without_smote,model_load,without_smote,14926,0.0004372
2,inference,inference_without_smote,model_load,without_smote,14926,0.0003244
3,inference,inference_without_smote,model_load,without_smote,14926,0.0003036
4,inference,inference_without_smote,model_load,without_smote,14926,0.000285
5,inference,inference_without_smote,model_load,without_smote,14926,0.0002723
1,inference,inference_without_smote,predict,without_smote,14926,0.0005535
2,inference,inference_without_smote,predict,without_smote,14926,0.0004318
3,inference,inference_without_smote,predict,without_smote,14926,0.0004306
4,inference,inference_without_smote,predict,without_smote,14926,0.0004751
5,inference,inference_without_smote,predict,without_smote,14926,0.0004131
1,inference,inference_without_smote,predict_proba,without_smote,14926,0.0009735
2,inference,inference_without_smote,predict_proba,without_smote,14926,0.0009253
3,inference,inference_without_smote,predict_proba,without_smote,14926,0.0008754
4,inference,inference_without_smote,predict_proba,without_smote,14926,0.0008806
5,inference,inference_without_smote,predict_proba,without_smote,14926,0.000863
1,inference,inference_without_smote,end_to_end,without_smote,14926,0.0022168
2,inference,inference_without_smote,end_to_end,without_smote,14926,0.0023814
3,inference,inference_without_smote,end_to_end,without_smote,14926,0.0020513
4,inference,inference_without_smote,end_to_end,without_smote,14926,0.001991
5,inference,inference_without_smote,end_to_end,without_smote,14926,0.0019759
1,inference,inference_with_smote,input_preparation,with_smote,14926,0.0007534
2,inference,inference_with_smote,input_preparation,with_smote,14926,0.0004905
3,inference,inference_with_smote,input_preparation,with_smote,14926,0.000315
4,inference,inference_with_smote,input_preparation,with_smote,14926,0.0002766
5,inference,inference_with_smote,input_preparation,with_smote,14926,0.0002712
1,inference,inference_with_smote,model_load,with_smote,14926,0.0025607
2,inference,inference_with_smote,model_load,with_smote,14926,0.000726
3,inference,inference_with_smote,model_load,with_smote,14926,0.0008487
4,inference,inference_with_smote,model_load,with_smote,14926,0.0011119
5,inference,inference_with_smote,model_load,with_smote,14926,0.0005978
1,inference,inference_with_smote,predict,with_smote,14926,0.0008271
2,inference,inference_with_smote,predict,with_smote,14926,0.0006146
3,inference,inference_with_smote,predict,with_smote,14926,0.0005725
4,inference,inference_with_smote,predict,with_smote,14926,0.000543
5,inference,inference_with_smote,predict,with_smote,14926,0.0005662
1,inference,inference_with_smote,predict_proba,with_smote,14926,0.0014269
2,inference,inference_with_smote,predict_proba,with_smote,14926,0.0013172
3,inference,inference_with_smote,predict_proba,with_smote,14926,0.0010625
4,inference,inference_with_smote,predict_proba,with_smote,14926,0.0009807
5,inference,inference_with_smote,predict_proba,with_smote,14926,0.0009195
1,inference,inference_with_smote,end_to_end,with_smote,14926,0.0029126
2,inference,inference_with_smote,end_to_end,with_smote,14926,0.0026234
3,inference,inference_with_smote,end_to_end,with_smote,14926,0.0024253
4,inference,inference_with_smote,end_to_end,with_smote,14926,0.0024093
5,inference,inference_with_smote,end_to_end,with_smote,14926,0.0032044
