category,scenario,stage,rows,runs,mean_sec,median_sec,min_sec,max_sec,std_sec,resampled_rows
inference,inference_without_smote,input_preparation,14926,5,0.00047306,0.0004263,0.0003245,0.0008097,0.000195123,
inference,inference_without_smote,model_load,14926,5,0.0003245,0.0003036,0.0002723,0.0004372,6.5998e-05,
inference,inference_without_smote,predict,14926,5,0.00046082,0.0004318,0.0004131,0.0005535,5.6626e-05,
inference,inference_without_smote,predict_proba,14926,5,0.00090356,0.0008806,0.000863,0.0009735,4.5633e-05,
inference,inference_without_smote,end_to_end,14926,5,0.00212328,0.0020513,0.0019759,0.0023814,0.00017304,
inference,inference_with_smote,input_preparation,14926,5,0.00042134,0.000315,0.0002712,0.0007534,0.000206062,
inference,inference_with_smote,model_load,14926,5,0.00116902,0.0008487,0.0005978,0.0025607,0.000800812,
inference,inference_with_smote,predict,14926,5,0.00062468,0.0005725,0.000543,0.0008271,0.000116071,
inference,inference_with_smote,predict_proba,14926,5,0.00114136,0.0010625,0.0009195,0.0014269,0.00022006,
inference,inference_with_smote,end_to_end,14926,5,0.002715,0.0026234,0.0024093,0.0032044,0.000340708,
training,training_without_smote,fit,13347,5,0.00126126,0.0012636,0.001161,0.0013191,6.5228e-05,
training,training_with_smote,smote_fit_resample,13347,5,0.01113802,0.0111667,0.0108502,0.0114055,0.000209562,20272.0
training,training_with_smote,gnb_fit_after_smote,20272,5,0.00187522,0.0018547,0.0018178,0.0020041,7.5453e-05,20272.0
training,training_with_smote,fit_total,13347,5,0.01303616,0.0130596,0.0129413,0.0131219,8.0967e-05,20272.0
