run,category,scenario,stage,variant,rows,time_sec,resampled_rows
1,training,training_without_smote,fit,without_smote,13347,0.0014182,
2,training,training_without_smote,fit,without_smote,13347,0.0013348,
3,training,training_without_smote,fit,without_smote,13347,0.0012732,
4,training,training_without_smote,fit,without_smote,13347,0.0012482,
5,training,training_without_smote,fit,without_smote,13347,0.0012423,
1,training,training_with_smote,smote_fit_resample,with_smote,13347,0.012751,20272.0
2,training,training_with_smote,smote_fit_resample,with_smote,13347,0.0128997,20272.0
3,training,training_with_smote,smote_fit_resample,with_smote,13347,0.0131449,20272.0
4,training,training_with_smote,smote_fit_resample,with_smote,13347,0.0121652,20272.0
5,training,training_with_smote,smote_fit_resample,with_smote,13347,0.011487,20272.0
1,training,training_with_smote,gnb_fit_after_smote,with_smote,20272,0.0019234,20272.0
2,training,training_with_smote,gnb_fit_after_smote,with_smote,20272,0.001729,20272.0
3,training,training_with_smote,gnb_fit_after_smote,with_smote,20272,0.0017091,20272.0
4,training,training_with_smote,gnb_fit_after_smote,with_smote,20272,0.0017378,20272.0
5,training,training_with_smote,gnb_fit_after_smote,with_smote,20272,0.0019082,20272.0
1,training,training_with_smote,fit_total,with_smote,13347,0.0129303,20272.0
2,training,training_with_smote,fit_total,with_smote,13347,0.0132956,20272.0
3,training,training_with_smote,fit_total,with_smote,13347,0.012787,20272.0
4,training,training_with_smote,fit_total,with_smote,13347,0.0128412,20272.0
5,training,training_with_smote,fit_total,with_smote,13347,0.0125504,20272.0
